//Name,ID,DataType,Length,Unit,Remark,SystemID,BindObjType,MustAttribute
SYS_ECID_CHANGED,47,UINT_4,,,Latest operator changed equipment constant identification.,47,,N
SYS_PREVIOUS_EC_VALUE,48,ASCII,,,Previous operator changed equipment constant value.,48,,N
SYS_EC_VALUE_CHANGED,49,ASCII,,,Latest operator changed equipment constant value.,49,,N
SYS_PP_CHANGE_NAME,41,ASCII,,,The PPID which was affected upon the event of the creation/editing/deletion of a Process Program.(Set by AP),41,,N
SYS_PP_CHANGE_STATUS,42,UINT_1,,,The Process Program take action. (1:Credited; 2:Edited; 3:Deleted) (Set by AP),42,,N
SYS_UNFORMATTED_PP_CHANGE_CONTENT,43,BINARY,,,Unformatted PPChange Content.(Set by AP),43,,N
SYS_FORMATTED_PP_CHANGE_CONTENT,44,LIST,,,Formatted PPChange Content.(Set by AP),44,,N
SYS_PP_ERROR,45,ASCII,256,,Information about a failure to verify a text process program[S7F27].(Set by AP),45,,N
SYS_ALARM_ID,46,UINT_4,,,The current setting/clearing alarm identification.,46,,N
CMS_OBJID,441,ASCII,,,(E87-CMS) [CARRIER] Carrier ID (Identifier ID),441,CARRIER,Y
CMS_CAPACITY,442,UINT_1,,,(E87-CMS) [CARRIER] Capacity,442,CARRIER,N
CMS_CARRIERIDSTATUS,443,UINT_1,,,(E87-CMS) [CARRIER] Carrier ID Status,443,CARRIER,N
CMS_CARRIERACCESSINGSTATUS,444,UINT_1,,,(E87-CMS) [CARRIER] Carrier Accessing Status,444,CARRIER,N
CMS_SUBSTRATECOUNT,445,UINT_1,,,(E87-CMS) [CARRIER] Substrate Count,445,CARRIER,N
CMS_CONTENTMAP,446,LIST,,,(E87-CMS) [CARRIER] Content Map,446,CARRIER,N
CMS_SLOTMAP,447,LIST,,,(E87-CMS) [CARRIER] Slot Map,447,CARRIER,N
CMS_LOCATIONID,448,ASCII,,,(E87-CMS) [CARRIER] Location ID,448,CARRIER,N
CMS_SLOTMAPSTATUS,449,UINT_1,,,(E87-CMS) [CARRIER] Slot Map Status,449,CARRIER,N
CMS_USAGE,450,ASCII,,,(E87-CMS) [CARRIER] Usage,450,CARRIER,N
CMS_OBJID,471,ASCII,,,(E87-CMS) [CARRIERLOC] Carrier Location ID (Identifier ID),471,CARRIERLOC,Y
CMS_CARRIERID,472,ASCII,,,(E87-CMS) [CARRIERLOC] Carrier ID of the Carrier at the Carrier location,472,CARRIERLOC,N
CJ_OBJID,241,ASCII,,,(E94-CJM) [CONTROLJOB] Control Job ID (Identifier ID),241,CONTROLJOB,Y
CJ_CARRIERINPUTSPEC,242,LIST,,,(E94-CJM) [CONTROLJOB] Carrier Input Spec,578,CONTROLJOB,N
CJ_CURRENTPRJOB,243,LIST,,,(E94-CJM) [CONTROLJOB] Current PR Job,579,CONTROLJOB,N
CJ_DATACOLLECTIONPLAN,244,ASCII,,,(E94-CJM) [CONTROLJOB] Data Collection Plan,580,CONTROLJOB,N
CJ_MTRLOUTBYSTATUS,245,LIST,,,(E94-CJM) [CONTROLJOB] Mtrl Out By Status,581,CONTROLJOB,N
CJ_MTRLOUTSPEC,246,LIST,,,(E94-CJM) [CONTROLJOB] Mtrl Out Spec,582,CONTROLJOB,N
CJ_PAUSEEVENT,247,LIST,,,(E94-CJM) [CONTROLJOB] Pause Event,583,CONTROLJOB,N
CJ_PROCESSINGCTRLSPEC,248,LIST,,,(E94-CJM) [CONTROLJOB] Processing Ctrl Spec,584,CONTROLJOB,N
CJ_PROCESSORDERMGMT,249,UINT_1,,,(E94-CJM) [CONTROLJOB] Process Order Mgmt,585,CONTROLJOB,N
CJ_STARTMETHOD,250,BOOLEAN,,,(E94-CJM) [CONTROLJOB] Start Method,586,CONTROLJOB,N
CJ_STATE,251,UINT_1,,,(E94-CJM) [CONTROLJOB] State,587,CONTROLJOB,N
CJ_PRJOBSTATUSLIST,252,LIST,,,(E94-CJM) [CONTROLJOB] PRJob Status List,588,CONTROLJOB,N
EPT_OBJID,541,ASCII,,,(E116-EPT) [EPTTRACKER] EPTTracker ID (Identifier ID),541,EPTTRACKER,Y
EPT_BLOCKEDREASON,542,UINT_1,,,(E116-EPT) [EPTTRACKER] Blocked Reason,542,EPTTRACKER,N
EPT_BLOCKEDREASONTEXT,543,ASCII,,,(E116-EPT) [EPTTRACKER] Blocked Reason Text,543,EPTTRACKER,N
EPT_DISABLEEVENTONTRANSITION,544,LIST,,,(E116-EPT) [EPTTRACKER] Disable Event On Transition,544,EPTTRACKER,N
EPT_EPTELEMENTTYPE,545,UINT_1,,,(E116-EPT) [EPTTRACKER] EPT Element Type,545,EPTTRACKER,N
EPT_EPTSTATE,546,UINT_1,,,(E116-EPT) [EPTTRACKER] EPT State,546,EPTTRACKER,N
EPT_EPTSTATETIME,547,UINT_4,,,(E116-EPT) [EPTTRACKER] EPT State Time,547,EPTTRACKER,N
EPT_EPTELEMENTNAME,548,ASCII,,,(E116-EPT) [EPTTRACKER] EPT Element Name,548,EPTTRACKER,N
EPT_PREVIOUSEPTSTATE,549,UINT_1,,,(E116-EPT) [EPTTRACKER] Previous EPT State,549,EPTTRACKER,N
EPT_PREVIOUSTASKNAME,550,ASCII,,,(E116-EPT) [EPTTRACKER] Previous Task Name,550,EPTTRACKER,N
EPT_PREVIOUSTASKTYPE,551,UINT_1,,,(E116-EPT) [EPTTRACKER] Previous Task Type,551,EPTTRACKER,N
EPT_TASKNAME,552,ASCII,,,(E116-EPT) [EPTTRACKER] Task Name,552,EPTTRACKER,N
EPT_TASKTYPE,553,UINT_1,,,(E116-EPT) [EPTTRACKER] Task Type,553,EPTTRACKER,N
EPT_TRANSITIONTIMESTAMP,554,ASCII,,,(E116-EPT) [EPTTRACKER] Transition Timestamp,554,EPTTRACKER,N
EPT_TRANSITION,555,UINT_1,,,(E116-EPT) [EPTTRACKER] Transition,555,EPTTRACKER,N
EPT_TRACKEREVENTID,556,UINT_4,,,(E116-EPT) [EPTTRACKER] Tracker Event ID,556,EPTTRACKER,N
CMS_OBJID,461,UINT_1,,,(E87-CMS) [LOADPORT] Port ID (Identifier ID),461,LOADPORT,Y
CMS_PORTID,462,UINT_1,,,(E87-CMS) [LOADPORT] Port ID,462,LOADPORT,N
CMS_PORTSTATEINFO,463,LIST,,,(E87-CMS) [LOADPORT] Port State Info,463,LOADPORT,N
CMS_PORTASSOCIATIONSTATE,464,UINT_1,,,(E87-CMS) [LOADPORT] Port Association State,464,LOADPORT,N
CMS_PORTTRANSFERSTATE,465,UINT_1,,,(E87-CMS) [LOADPORT] Port Transfer State,465,LOADPORT,N
CMS_ACCESSMODE,466,UINT_1,,,(E87-CMS) [LOADPORT] Access Mode,466,LOADPORT,N
PJ_OBJID,141,ASCII,,,(E40-PM) [PROCESSJOB] Process Job ID (Identifier ID),141,PROCESSJOB,Y
PJ_PAUSEEVENT,142,LIST,,,(E40-PM) [PROCESSJOB] Pause Event,142,PROCESSJOB,Y
PJ_PRJOBSTATE,143,UINT_1,,,(E40-PM) [PROCESSJOB] PR Job State,143,PROCESSJOB,Y
PJ_PRMTLNAMELIST,144,LIST,,,(E40-PM) [PROCESSJOB] PR Mtl Name List,144,PROCESSJOB,Y
PJ_PRMTLTYPE,145,BINARY,,,(E40-PM) [PROCESSJOB] PR Mtl Type,145,PROCESSJOB,Y
PJ_PRPROCESSSTART,146,BOOLEAN,,,(E40-PM) [PROCESSJOB] PR Process Start,146,PROCESSJOB,Y
PJ_PRRECIPEMETHOD,147,UINT_1,,,(E40-PM) [PROCESSJOB] PR Recipe Method,147,PROCESSJOB,Y
PJ_RECID,148,ASCII,,,(E40-PM) [PROCESSJOB] Rec ID,148,PROCESSJOB,Y
PJ_RECVARIABLELIST,149,LIST,,,(E40-PM) [PROCESSJOB] Rec Variable List,149,PROCESSJOB,Y
STS_OBJID,361,ASCII,,,(E90-STS) [SUBSTLOC] Substrate Location ID (Identifier ID),361,SUBSTLOC,Y
STS_SUBSTID,362,ASCII,,,(E90-STS) [SUBSTLOC] Substrate ID of the substrate at the substrate location,362,SUBSTLOC,N
STS_SUBSTLOCSTATE,363,UINT_1,,,(E90-STS) [SUBSTLOC] State of Substrate Location,363,SUBSTLOC,N
STS_OBJID,341,ASCII,,,(E90-STS) [SUBSTRATE] Substrate ID (Identifier ID),341,SUBSTRATE,Y
STS_LOTID,342,ASCII,,,(E90-STS) [SUBSTRATE] Lot ID,342,SUBSTRATE,N
STS_MATERIALSTATUS,343,UINT_1,,,(E90-STS) [SUBSTRATE] Material Status,343,SUBSTRATE,N
STS_SUBSTDESTINATION,344,ASCII,,,(E90-STS) [SUBSTRATE] Subst Destination,344,SUBSTRATE,N
STS_SUBSTHISTORY,345,LIST,,,(E90-STS) [SUBSTRATE] Subst History,345,SUBSTRATE,N
STS_SUBSTLOCID,346,ASCII,,,(E90-STS) [SUBSTRATE] Subst Loc ID,346,SUBSTRATE,N
STS_SUBSTPROCSTATE,347,UINT_1,,,(E90-STS) [SUBSTRATE] Subst Proc State,347,SUBSTRATE,N
STS_SUBSTSOURCE,348,ASCII,,,(E90-STS) [SUBSTRATE] Subst Source,348,SUBSTRATE,N
STS_SUBSTSTATE,349,UINT_1,,,(E90-STS) [SUBSTRATE] Subst State,349,SUBSTRATE,N
STS_SUBSTTYPE,350,UINT_1,,,(E90-STS) [SUBSTRATE] Subst Type,350,SUBSTRATE,N
STS_SUBSTUSAGE,351,UINT_1,,,(E90-STS) [SUBSTRATE] Subst Usage,351,SUBSTRATE,N
